group,dataset_a,dataset_b,sae_jaccard,logreg_jaccard,delta_jaccard
historical_figures,5_hist_fig_ismale,6_hist_fig_isamerican,0.7777777777777778,0.0,0.7777777777777778
historical_figures,5_hist_fig_ismale,7_hist_fig_ispolitician,0.5238095238095238,0.0,0.5238095238095238
historical_figures,6_hist_fig_isamerican,7_hist_fig_ispolitician,0.45454545454545453,0.0,0.45454545454545453
news_headlines,21_headline_istrump,22_headline_isobama,0.45454545454545453,0.03225806451612903,0.42228739002932547
news_headlines,21_headline_istrump,23_headline_ischina,0.3333333333333333,0.0,0.3333333333333333
news_headlines,21_headline_istrump,24_headline_isiran,0.6,0.0,0.6
news_headlines,21_headline_istrump,26_headline_isfrontpage,0.391304347826087,0.0,0.391304347826087
news_headlines,22_headline_isobama,23_headline_ischina,0.3333333333333333,0.0,0.3333333333333333
news_headlines,22_headline_isobama,24_headline_isiran,0.391304347826087,0.0,0.391304347826087
news_headlines,22_headline_isobama,26_headline_isfrontpage,0.14285714285714285,0.0,0.14285714285714285
news_headlines,23_headline_ischina,24_headline_isiran,0.391304347826087,0.0,0.391304347826087
news_headlines,23_headline_ischina,26_headline_isfrontpage,0.23076923076923078,0.0,0.23076923076923078
news_headlines,24_headline_isiran,26_headline_isfrontpage,0.3333333333333333,0.0,0.3333333333333333
wikidata_person,56_wikidatasex_or_gender,57_wikidatais_alive,0.6842105263157895,0.03225806451612903,0.6519524617996605
wikidata_person,56_wikidatasex_or_gender,58_wikidatapolitical_party,0.06666666666666667,0.06666666666666667,0.0
wikidata_person,56_wikidatasex_or_gender,59_wikidata_occupation_isjournalist,0.391304347826087,0.0,0.391304347826087
wikidata_person,56_wikidatasex_or_gender,60_wikidata_occupation_isathlete,0.14285714285714285,0.0,0.14285714285714285
wikidata_person,56_wikidatasex_or_gender,61_wikidata_occupation_isactor,0.28,0.0,0.28
wikidata_person,56_wikidatasex_or_gender,62_wikidata_occupation_ispolitician,0.6,0.0,0.6
wikidata_person,56_wikidatasex_or_gender,63_wikidata_occupation_issinger,0.5238095238095238,0.06666666666666667,0.4571428571428572
wikidata_person,56_wikidatasex_or_gender,64_wikidata_occupation_isresearcher,0.391304347826087,0.0,0.391304347826087
wikidata_person,57_wikidatais_alive,58_wikidatapolitical_party,0.06666666666666667,0.0,0.06666666666666667
wikidata_person,57_wikidatais_alive,59_wikidata_occupation_isjournalist,0.391304347826087,0.03225806451612903,0.3590462833099579
wikidata_person,57_wikidatais_alive,60_wikidata_occupation_isathlete,0.18518518518518517,0.03225806451612903,0.15292712066905614
wikidata_person,57_wikidatais_alive,61_wikidata_occupation_isactor,0.3333333333333333,0.03225806451612903,0.30107526881720426
wikidata_person,57_wikidatais_alive,62_wikidata_occupation_ispolitician,0.6842105263157895,0.14285714285714285,0.5413533834586466
wikidata_person,57_wikidatais_alive,63_wikidata_occupation_issinger,0.6,0.0,0.6
wikidata_person,57_wikidatais_alive,64_wikidata_occupation_isresearcher,0.28,0.0,0.28
wikidata_person,58_wikidatapolitical_party,59_wikidata_occupation_isjournalist,0.0,0.0,0.0
wikidata_person,58_wikidatapolitical_party,60_wikidata_occupation_isathlete,0.0,0.0,0.0
wikidata_person,58_wikidatapolitical_party,61_wikidata_occupation_isactor,0.10344827586206896,0.0,0.10344827586206896
wikidata_person,58_wikidatapolitical_party,62_wikidata_occupation_ispolitician,0.10344827586206896,0.03225806451612903,0.07119021134593993
wikidata_person,58_wikidatapolitical_party,63_wikidata_occupation_issinger,0.06666666666666667,0.0,0.06666666666666667
wikidata_person,58_wikidatapolitical_party,64_wikidata_occupation_isresearcher,0.06666666666666667,0.0,0.06666666666666667
wikidata_person,59_wikidata_occupation_isjournalist,60_wikidata_occupation_isathlete,0.14285714285714285,0.0,0.14285714285714285
wikidata_person,59_wikidata_occupation_isjournalist,61_wikidata_occupation_isactor,0.18518518518518517,0.0,0.18518518518518517
wikidata_person,59_wikidata_occupation_isjournalist,62_wikidata_occupation_ispolitician,0.28,0.0,0.28
wikidata_person,59_wikidata_occupation_isjournalist,63_wikidata_occupation_issinger,0.3333333333333333,0.03225806451612903,0.30107526881720426
wikidata_person,59_wikidata_occupation_isjournalist,64_wikidata_occupation_isresearcher,0.28,0.03225806451612903,0.247741935483871
wikidata_person,60_wikidata_occupation_isathlete,61_wikidata_occupation_isactor,0.18518518518518517,0.0,0.18518518518518517
wikidata_person,60_wikidata_occupation_isathlete,62_wikidata_occupation_ispolitician,0.14285714285714285,0.03225806451612903,0.11059907834101382
wikidata_person,60_wikidata_occupation_isathlete,63_wikidata_occupation_issinger,0.18518518518518517,0.0,0.18518518518518517
wikidata_person,60_wikidata_occupation_isathlete,64_wikidata_occupation_isresearcher,0.03225806451612903,0.0,0.03225806451612903
wikidata_person,61_wikidata_occupation_isactor,62_wikidata_occupation_ispolitician,0.28,0.0,0.28
wikidata_person,61_wikidata_occupation_isactor,63_wikidata_occupation_issinger,0.3333333333333333,0.0,0.3333333333333333
